experiment,target_domain,num_malicious,mode,warmup_queries,cold_start_s0,window_idx,query_start,query_end,n,window_hr@1_mean,window_hr@1_std,window_hr@3_mean,window_hr@3_std,window_acc@1_mean,window_acc@1_std,window_acc@3_mean,window_acc@3_std,window_malicious_rank_mean,window_malicious_rank_std,cumulative_hr@1_mean,cumulative_hr@1_std,cumulative_hr@3_mean,cumulative_hr@3_std,cumulative_acc@1_mean,cumulative_acc@1_std,cumulative_acc@3_mean,cumulative_acc@3_std,cumulative_malicious_rank_mean,cumulative_malicious_rank_std,mal_effective_trust_mean,mal_effective_trust_std,target_effective_trust_mean,target_effective_trust_std,mal_reputation_mean,mal_reputation_std,target_reputation_mean,target_reputation_std
ragroute_online,gaming,3,No Defense,50,0.7,6,251,300,5,0.068,0.02280350850198276,0.98,0.024494897427831803,0.804,0.026076809620810562,0.916,0.008944271909999166,2.064,0.05176871642217919,0.04933333333333333,0.013207741837439299,0.9673333333333334,0.01233783701554781,0.8286666666666667,0.006912147117775882,0.9206666666666666,0.004944132324730433,2.1446666666666667,0.059656423701801777,0.7,0.0,0.7,0.0,1.0,0.0,1.0,0.0
ragroute_online,gaming,3,No Defense,50,0.7,7,301,350,5,0.036000000000000004,0.029664793948382652,0.9359999999999999,0.016733200530681475,0.76,0.028284271247461926,0.848,0.010954451150103333,2.292,0.11189280584559481,0.04742857142857143,0.014928400545843578,0.9628571428571429,0.012936264483053435,0.8188571428571428,0.00916960373478925,0.9102857142857143,0.004780914437337585,2.1657142857142855,0.06663945022680343,0.7,0.0,0.7,0.0,1.0,0.0,1.0,0.0
ragroute_online,gaming,3,No Defense,50,0.7,8,351,400,5,0.024,0.00894427190999916,0.944,0.021908902300206635,0.788,0.017888543819998284,0.908,0.010954451150103333,2.312,0.07949842765740707,0.0445,0.012424773639789178,0.9605,0.01109617051058609,0.815,0.009842509842514738,0.91,0.0030618621784789524,2.184,0.06068875513635133,0.7,0.0,0.7,0.0,1.0,0.0,1.0,0.0
ragroute_online,gaming,3,No Defense,50,0.7,9,401,450,5,0.032,0.022803508501982758,0.976,0.008944271909999166,0.884,0.008944271909999166,0.952,0.010954451150103333,2.144,0.053665631459995,0.043111111111111114,0.013480667456091645,0.9622222222222222,0.009558139185602922,0.8226666666666667,0.008805161224959538,0.9146666666666666,0.0037184890068181374,2.1795555555555555,0.059595343259952735,0.7,0.0,0.7,0.0,1.0,0.0,1.0,0.0
ragroute_online,gaming,3,No Defense,50,0.7,10,451,500,5,0.04,0.02,0.98,0.024494897427831803,0.776,0.029664793948382638,0.928,0.033466401061363,2.152,0.09011104260855042,0.0428,0.012049896265113656,0.964,0.01019803902718558,0.818,0.009999999999999964,0.916,0.00489897948556636,2.1768,0.06083748844257136,0.7,0.0,0.7,0.0,1.0,0.0,1.0,0.0
ragroute_online,gaming,3,Rel,50,0.7,1,1,50,5,0.068,0.041472882706655445,0.972,0.010954451150103333,0.876,0.05366563145999495,0.964,0.016733200530681527,2.028,0.07155417527999333,0.068,0.041472882706655445,0.972,0.010954451150103333,0.876,0.05366563145999495,0.964,0.016733200530681527,2.028,0.07155417527999333,0.8762445350721031,0.0036137613448106,0.9398147208969543,0.001685574028294521,1.0,0.0,1.0,0.0
ragroute_online,gaming,3,Rel,50,0.7,2,51,100,5,0.0,0.0,0.896,0.016733200530681527,0.884,0.021908902300206666,0.9319999999999999,0.01095445115010327,2.56,0.020000000000000018,0.034,0.020736441353327723,0.9339999999999999,0.013416407864998692,0.88,0.030000000000000027,0.948,0.008366600265340763,2.294,0.04037325847637268,0.2521900957186879,0.009984478053486755,0.987514306259585,0.0005594202115210325,0.2665430217401285,0.010429413070096481,1.0,0.0
ragroute_online,gaming,3,Rel,50,0.7,3,101,150,5,0.0,0.0,0.636,0.03577708763999662,0.884,0.008944271909999166,0.96,0.020000000000000018,3.532,0.2198181066245453,0.02266666666666667,0.013824294235551815,0.8346666666666667,0.009888264649460899,0.8813333333333333,0.020763215336529917,0.952,0.009888264649460906,2.7066666666666666,0.061463629715285815,0.09019657586367204,0.0054393307119344775,0.9320424968787379,0.036562710623962526,0.0928459810986536,0.005852000169999984,0.9344,0.03667151483099653
ragroute_online,gaming,3,Rel,50,0.7,4,151,200,5,0.0,0.0,0.488,0.06418722614352483,1.0,0.0,1.0,0.0,3.812,0.1331164903383498,0.017,0.010368220676663861,0.748,0.021095023109729005,0.911,0.01557241150239745,0.964,0.007416198487095669,2.983,0.07669745758498127,0.04360647078870285,0.005409152618768664,0.9546321623689196,2.7423146795200105e-05,0.04445104183340599,0.005604978615007296,0.9550872000000001,0.0
ragroute_online,gaming,3,Rel,50,0.7,5,201,250,5,0.0,0.0,0.4,0.034641016151377525,0.924,0.008944271909999116,0.98,0.0,4.648,0.17922053453775894,0.013600000000000001,0.008294576541331089,0.6784,0.020119642143934836,0.9136000000000001,0.012837445228704981,0.9672,0.005932958789676535,3.316,0.09108238029388548,0.024765808831678036,0.0041264980669047675,0.9999069627992125,5.606949052884735e-06,0.025131926370585044,0.004213812610211679,1.0,0.0
ragroute_online,gaming,3,Rel,50,0.7,6,251,300,5,0.0,0.0,0.452,0.07014271166700074,0.968,0.010954451150103333,1.0,0.0,5.1000000000000005,0.12489995996796793,0.011333333333333334,0.0069121471177759075,0.6406666666666666,0.028225284173355406,0.9226666666666666,0.01187901978747032,0.9726666666666667,0.00494413232473044,3.6133333333333333,0.09119576013536304,0.013319589391415797,0.001505026128982051,0.9999824275426149,1.059015882399145e-06,0.013457034850987608,0.001540535220737951,1.0,0.0
