experiment,target_domain,num_malicious,mode,warmup_queries,cold_start_s0,n,final_hr@1_mean,final_hr@1_std,final_hr@3_mean,final_hr@3_std,final_acc@1_mean,final_acc@1_std,final_acc@3_mean,final_acc@3_std,early_hr@1_mean,early_hr@1_std,early_acc@1_mean,early_acc@1_std,late_hr@1_mean,late_hr@1_std,late_acc@1_mean,late_acc@1_std,final_mal_reputation_mean,final_mal_reputation_std,final_honest_target_reputation_mean,final_honest_target_reputation_std,final_mal_effective_trust_mean,final_mal_effective_trust_std,final_honest_target_effective_trust_mean,final_honest_target_effective_trust_std
online,gaming,1,Rel,50,0.7,5,0.0036,0.00589915248150105,0.0552,0.045223887493226415,0.9876,0.005176871642217918,0.9984,0.0026076809620810618,0.018000000000000002,0.029495762407505257,0.962,0.031144823004794854,0.0,0.0,0.992,0.017888543819998333,0.17036978923695562,0.010580700317682991,0.22578023455650634,0.046840905521358764,0.14733286739783527,0.005388516157347872,0.2253092634622647,0.046816215524920726
online,gaming,3,Full TASR,50,0.7,5,0.0064,0.010139033484509261,0.116,0.041545156155681974,0.9743999999999999,0.02554995107627412,0.9944,0.007127411872482191,0.032,0.0506951674225463,0.9359999999999999,0.07668115805072323,0.0,0.0,1.0,0.0,0.19025658308790983,0.009116241076821094,0.2833600379492183,0.020824869284602178,0.07327567381517379,0.0036383752163946527,0.10289405288323708,0.016383368761798772
online,gaming,3,No Defense,50,0.7,5,0.5412,0.020129580224137796,0.6292,0.010639548862616319,0.3348,0.021981810662454537,0.8768,0.014737706741552444,0.5680000000000001,0.03420526275297411,0.32,0.0374165738677394,0.534,0.029664793948382645,0.362,0.03898717737923585,1.0,0.0,1.0,0.0,0.7,0.0,0.7,0.0
online,gaming,3,Rel,50,0.7,5,0.0064,0.010139033484509261,0.12040000000000001,0.043483330139261415,0.9884,0.010039920318408915,0.998,0.0034641016151377574,0.032,0.0506951674225463,0.96,0.05099019513592784,0.0,0.0,1.0,0.0,0.16753139714970558,0.005393175251249438,0.2355540685695917,0.04389671335107517,0.143825406350933,0.007906484835208507,0.23514970300359686,0.04400500341541037
online,gis,1,Full TASR,50,0.7,5,0.044,0.015620499351813309,0.13999999999999999,0.006164414002968968,0.9508,0.019162463307205557,0.9976,0.0032863353450309995,0.22,0.07810249675906654,0.754,0.09581231653602787,0.0,0.0,1.0,0.0,0.10915691849487699,0.01693751439334439,0.5119575976001551,0.09719279119755482,0.0480087299182456,0.0035802889714236573,0.27327634741945983,0.06044531301734491
online,gis,1,No Defense,50,0.7,5,0.34,0.038026306683663094,0.5248,0.03840833242930497,0.54,0.03847076812334269,0.9376,0.005899152481501005,0.368,0.03768288736283354,0.498,0.040865633483405085,0.352,0.05585696017507576,0.576,0.05770615218501403,1.0,0.0,1.0,0.0,0.7,0.0,0.7,0.0
online,gis,1,Rel,50,0.7,5,0.044,0.015620499351813309,0.1408,0.0036331804249169785,0.9548,0.014939879517586492,0.9988,0.001095445115010333,0.22,0.07810249675906654,0.774,0.07469939758793241,0.0,0.0,1.0,0.0,0.10285384978362169,0.005993124856674195,0.4967652014524339,0.0174375027455077,0.09990705779729499,0.00562806907812189,0.49568915001703173,0.01738821456841508
online,gis,3,Full TASR,50,0.7,5,0.0712,0.007694153624668539,0.2168,0.004604345773288539,0.9272,0.008555699854482983,0.9964,0.0026076809620810618,0.356,0.03847076812334267,0.636,0.042778499272414915,0.0,0.0,1.0,0.0,0.12173854238150043,0.009013600310663837,0.532442079570397,0.033113822062873374,0.05073468729408458,0.0014720622057043243,0.2840321037069585,0.03316622127743736
online,gis,3,No Defense,50,0.7,5,0.6504,0.0194627850011246,0.8148,0.012457929201917912,0.2564,0.020415680248279763,0.8208,0.020029977533686825,0.668,0.034928498393145935,0.244,0.026076809620810607,0.688,0.03701351104664347,0.246,0.038470768123342686,1.0,0.0,1.0,0.0,0.7,0.0,0.7,0.0
online,gis,3,Rel,50,0.7,5,0.0724,0.008988882021697689,0.2188,0.004147288270665548,0.9268000000000001,0.008786353054595526,0.9972,0.0017888543819998333,0.362,0.04494441010848846,0.636,0.04505552130427523,0.0,0.0,1.0,0.0,0.11712320671941039,0.0087512938224895,0.4195793819529012,0.0925991690312946,0.1099276790876501,0.008187653484689668,0.4182190894220468,0.09215796500218738
online,physics,1,Full TASR,50,0.7,5,0.056799999999999996,0.011099549540409285,0.14679999999999999,0.003898717737923589,0.9428,0.011366617790706215,1.0,0.0,0.284,0.05549774770204642,0.716,0.05549774770204644,0.0,0.0,1.0,0.0,0.07969928170134365,0.01735038928478648,1.0,0.0,0.032430571569357115,0.0033055673482744507,0.45972923791958864,0.11137752400690736
