experiment,target_domain,num_malicious,mode,warmup_queries,cold_start_s0,window_idx,query_start,query_end,n,window_hr@1_mean,window_hr@1_std,window_hr@3_mean,window_hr@3_std,window_acc@1_mean,window_acc@1_std,window_acc@3_mean,window_acc@3_std,cumulative_hr@1_mean,cumulative_hr@1_std,cumulative_acc@1_mean,cumulative_acc@1_std,mal_effective_trust_mean,mal_effective_trust_std,honest_target_effective_trust_mean,honest_target_effective_trust_std,mal_reputation_mean,mal_reputation_std,honest_target_reputation_mean,honest_target_reputation_std
cold_start_sweep,gaming,3,Full TASR,50,1.0,5,201,250,5,0.0,0.0,0.112,0.0363318042491699,1.0,0.0,1.0,0.0,0.11120000000000001,0.011099549540409282,0.7808,0.007694153624668545,0.25355718535668575,0.010930559997891085,0.3227426403982552,0.03223362318202086,0.4173904196989921,0.014652569933669484,0.6269219003767971,0.03967668724199488
cold_start_sweep,gaming,3,Full TASR,50,1.0,6,251,300,5,0.0,0.0,0.112,0.010954451150103317,1.0,0.0,1.0,0.0,0.09266666666666666,0.009249624617007741,0.8173333333333334,0.006411794687223756,0.19186191568922895,0.004694551965926415,0.2615613335266618,0.008859200289821567,0.3456744126219332,0.012715132568547335,0.5540387435297065,0.035899221203896846
cold_start_sweep,gaming,3,Full TASR,50,1.0,7,301,350,5,0.0,0.0,0.096,0.01673320053068151,0.98,0.028284271247461926,0.992,0.010954451150103333,0.07942857142857143,0.007928249671720919,0.8405714285714286,0.00372525851725865,0.15547222505151814,0.009988339420548368,0.19426989699163377,0.017330769732901093,0.2978792940596147,0.01634955705386648,0.458913189917442,0.016090646003007525
cold_start_sweep,gaming,3,Full TASR,50,1.0,8,351,400,5,0.0,0.0,0.096,0.02966479394838266,0.936,0.09736529155710466,0.96,0.0692820323027551,0.0695,0.0069372184627558035,0.8525,0.012247448713915907,0.12326323094563026,0.003846335413538495,0.15001424065276925,0.011627147703165456,0.24983798136815777,0.00935950228265433,0.3814494640101546,0.030133501039994733
cold_start_sweep,gaming,3,Full TASR,50,1.0,9,401,450,5,0.0,0.0,0.116,0.016733200530681513,0.996,0.008944271909999166,1.0,0.0,0.06177777777777778,0.006166416411338494,0.8684444444444445,0.011265592760565823,0.09424546963336074,0.00590479744380375,0.15273322327715405,0.02324968258680291,0.20408590990729242,0.013076011831272712,0.3877289145693948,0.04811895164744884
cold_start_sweep,gaming,3,Full TASR,50,1.0,10,451,500,5,0.0,0.0,0.064,0.016733200530681513,1.0,0.0,1.0,0.0,0.055600000000000004,0.005549774770204641,0.8816,0.01013903348450927,0.08055448216323671,0.004287964780798573,0.11273614246515998,0.009371119532171419,0.18104392870937264,0.00817141083510881,0.2758785722937552,0.019322087414091357
cold_start_sweep,gis,1,Full TASR,50,0.5,1,1,50,5,0.488,0.23177575369309017,0.988,0.017888543819998333,0.5,0.22494443758403987,0.988,0.010954451150103333,0.488,0.23177575369309017,0.5,0.22494443758403987,0.9036199110656974,0.0029055948991425734,0.710329073336924,0.002012940936964577,1.0,0.0,1.0,0.0
cold_start_sweep,gis,1,Full TASR,50,0.5,2,51,100,5,0.016,0.00894427190999916,0.148,0.05403702434442518,0.984,0.008944271909999166,1.0,0.0,0.252,0.11322543883774529,0.742,0.10986355173577812,0.3410671363326149,0.02792169620803267,0.5114355933845842,0.011025771194992208,0.47549308445814253,0.04270796441196772,0.834176637396445,0.02326714277944304
cold_start_sweep,gis,1,Full TASR,50,0.5,3,101,150,5,0.0,0.0,0.04,0.01414213562373095,1.0,0.0,1.0,0.0,0.168,0.07548362589183019,0.828,0.0732423678238521,0.25925392374386685,0.023720892026005278,0.47097654774581815,0.03194193721300551,0.38709837630998595,0.05337957045247842,0.8374655954189547,0.028017776894493206
cold_start_sweep,gis,1,Full TASR,50,0.5,4,151,200,5,0.0,0.0,0.036,0.01673320053068151,1.0,0.0,1.0,0.0,0.126,0.056612719418872644,0.871,0.05493177586788908,0.20321019343950314,0.006054991943394785,0.41720713831640666,0.016068303053852935,0.3284679038217904,0.045192132979802555,0.7694224853497303,0.01779187418454834
